Date,NVDA
2024-05-07,90.5179672241211
2024-05-08,90.37602996826172
2024-05-09,88.71168518066406
2024-05-10,89.84223175048828
2024-05-13,90.36302947998047
2024-05-14,91.31965637207031
2024-05-15,94.59233856201172
2024-05-16,94.32144927978516
2024-05-17,92.44219207763672
2024-05-20,94.7422866821289
2024-05-21,95.3480453491211
2024-05-22,94.91222381591797
2024-05-23,103.75770568847656
2024-05-24,106.42664337158203
2024-05-28,113.85567474365234
2024-05-29,114.77930450439453
2024-05-30,110.45602416992188
2024-05-31,109.5893783569336
2024-06-03,114.95423889160156
2024-06-04,116.39067077636719
2024-06-05,122.39128112792969
2024-06-06,120.94985961914062
2024-06-07,120.83989715576172
2024-06-10,121.74153900146484
2024-06-11,120.871826171875
2024-06-12,125.16045379638672
2024-06-13,129.56907653808594
2024-06-14,131.83836364746094
2024-06-17,130.9386444091797
2024-06-18,135.5371856689453
2024-06-20,130.73870849609375
2024-06-21,126.53002166748047
2024-06-24,118.07269287109375
2024-06-25,126.0501708984375
2024-06-26,126.3600845336914
2024-06-27,123.9508285522461
2024-06-28,123.50098419189453
2024-07-01,124.26075744628906
2024-07-02,122.63125610351562
2024-07-03,128.23948669433594
2024-07-05,125.79026794433594
2024-07-08,128.15951538085938
2024-07-09,131.33851623535156
2024-07-10,134.86740112304688
2024-07-11,127.3597640991211
2024-07-12,129.19918823242188
2024-07-15,128.39942932128906
2024-07-16,126.32009887695312
2024-07-17,117.95274353027344
2024-07-18,121.0517578125
2024-07-19,117.89275360107422
2024-07-22,123.50098419189453
2024-07-23,122.55127716064453
2024-07-24,114.21391296386719
2024-07-25,112.24454498291016
2024-07-26,113.0242919921875
2024-07-29,111.55474853515625
2024-07-30,103.6972427368164
2024-07-31,116.9830322265625
2024-08-01,109.1755142211914
2024-08-02,107.23612213134766
2024-08-05,100.41827392578125
2024-08-06,104.21707916259766
2024-08-07,98.87876892089844
2024-08-08,104.93685150146484
2024-08-09,104.7169189453125
2024-08-12,108.9855728149414
2024-08-13,116.10331726074219
2024-08-14,118.04271697998047
2024-08-15,122.82120513916016
2024-08-16,124.54065704345703
2024-08-19,129.95892333984375
2024-08-20,127.2098159790039
2024-08-21,128.4594268798828
2024-08-22,123.70092010498047
2024-08-23,129.32913208007812
2024-08-26,126.4200668334961
2024-08-27,128.25949096679688
2024-08-28,125.5703353881836
2024-08-29,117.55286407470703
2024-08-30,119.33230590820312
2024-09-03,107.96588897705078
2024-09-04,106.17646026611328
2024-09-05,107.17613983154297
2024-09-06,102.79752349853516
2024-09-09,106.43638610839844
2024-09-10,108.06585693359375
2024-09-11,116.87308502197266
2024-09-12,119.11256408691406
2024-09-13,119.07257080078125
2024-09-16,116.75310516357422
2024-09-17,115.5633773803711
2024-09-18,113.34388732910156
2024-09-19,117.84285736083984
2024-09-20,115.9732894897461
2024-09-23,116.23323059082031
2024-09-24,120.84217071533203
2024-09-25,123.48155975341797
2024-09-26,124.01143646240234
2024-09-27,121.3720474243164
2024-09-30,121.41203308105469
2024-10-01,116.97306060791016
2024-10-02,118.82262420654297
2024-10-03,122.82170867919922
2024-10-04,124.89122772216797
2024-10-07,127.69058990478516
2024-10-08,132.85939025878906
2024-10-09,132.61944580078125
2024-10-10,134.77896118164062
2024-10-11,134.7689666748047
2024-10-14,138.03822326660156
2024-10-15,131.5697021484375
2024-10-16,135.68873596191406
2024-10-17,136.89846801757812
2024-10-18,137.9682159423828
2024-10-21,143.67691040039062
2024-10-22,143.55694580078125
2024-10-23,139.52786254882812
2024-10-24,140.37767028808594
2024-10-25,141.5074005126953
2024-10-28,140.48765563964844
2024-10-29,141.21746826171875
2024-10-30,139.3079071044922
2024-10-31,132.72943115234375
2024-11-01,135.3688201904297
2024-11-04,136.0186767578125
2024-11-05,139.87777709960938
2024-11-06,145.5764617919922
2024-11-07,148.84571838378906
2024-11-08,147.5959930419922
2024-11-11,145.22654724121094
2024-11-12,148.25582885742188
2024-11-13,146.23631286621094
2024-11-14,146.72618103027344
2024-11-15,141.94729614257812
2024-11-18,140.11770629882812
2024-11-19,146.97613525390625
2024-11-20,145.8563995361328
2024-11-21,146.63623046875
2024-11-22,141.91729736328125
2024-11-25,135.98867797851562
2024-11-26,136.8884735107422
2024-11-27,135.30882263183594
2024-11-29,138.21817016601562
2024-12-02,138.5980682373047
2024-12-03,140.2277069091797
2024-12-04,145.1065673828125
2024-12-05,145.03659057617188
2024-12-06,142.41702270507812
2024-12-09,138.78758239746094
2024-12-10,135.04820251464844
2024-12-11,139.28750610351562
2024-12-12,137.3178253173828
2024-12-13,134.22833251953125
2024-12-16,131.9786834716797
2024-12-17,130.36895751953125
2024-12-18,128.88919067382812
2024-12-19,130.6588897705078
2024-12-20,134.67825317382812
2024-12-23,139.64744567871094
2024-12-24,140.19737243652344
2024-12-26,139.90740966796875
2024-12-27,136.9878692626953
2024-12-30,137.46780395507812
2024-12-31,134.26832580566406
2025-01-02,138.2876739501953
2025-01-03,144.44668579101562
2025-01-06,149.40586853027344
2025-01-07,140.11737060546875
2025-01-08,140.08738708496094
2025-01-10,135.88807678222656
2025-01-13,133.20849609375
2025-01-14,131.7387237548828
2025-01-15,136.218017578125
2025-01-16,133.54844665527344
2025-01-17,137.68777465820312
2025-01-21,140.80726623535156
2025-01-22,147.04627990722656
2025-01-23,147.1962432861328
2025-01-24,142.5969696044922
2025-01-27,118.40088653564453
2025-01-28,128.9691925048828
2025-01-29,123.6800308227539
2025-01-30,124.62987518310547
2025-01-31,120.05062103271484
2025-02-03,116.64117431640625
2025-02-04,118.63085174560547
2025-02-05,124.80985260009766
2025-02-06,128.65921020507812
2025-02-07,129.81903076171875
2025-02-10,133.54844665527344
2025-02-11,132.77857971191406
2025-02-12,131.11883544921875
2025-02-13,135.26815795898438
2025-02-14,138.8275909423828
2025-02-18,139.37750244140625
2025-02-19,139.20751953125
2025-02-20,140.08738708496094
2025-02-21,134.40829467773438
2025-02-24,130.25897216796875
2025-02-25,126.60955810546875
2025-02-26,131.25881958007812
2025-02-27,120.13060760498047
2025-02-28,124.89983367919922
2025-03-03,114.04158782958984
2025-03-04,115.97127532958984
2025-03-05,117.28106689453125
2025-03-06,110.55215454101562
2025-03-07,112.67181396484375
2025-03-10,106.96273040771484
2025-03-11,108.74244689941406
2025-03-12,115.73196411132812
2025-03-13,115.57197570800781
2025-03-14,121.66155242919922
2025-03-17,119.52169799804688
2025-03-18,115.42198181152344
2025-03-19,117.51183319091797
2025-03-20,118.52176666259766
2025-03-21,117.69182586669922
2025-03-24,121.40157318115234
2025-03-25,120.68162536621094
2025-03-26,113.75210571289062
2025-03-27,111.4222640991211
2025-03-28,109.66238403320312
2025-03-31,108.37247467041016
2025-04-01,110.14234924316406
2025-04-02,110.4123306274414
2025-04-03,101.79293060302734
2025-04-04,94.30345153808594
2025-04-07,97.63321685791016
2025-04-08,96.29331970214844
2025-04-09,114.32205963134766
2025-04-10,107.56253051757812
2025-04-11,110.92229461669922
2025-04-14,110.70230865478516
2025-04-15,112.19220733642578
2025-04-16,104.48274230957031
2025-04-17,101.48294830322266
2025-04-21,96.90327453613281
2025-04-22,98.88313293457031
2025-04-23,102.70286560058594
2025-04-24,106.422607421875
2025-04-25,111.0022964477539
2025-04-28,108.72245025634766
2025-04-29,109.0124282836914
2025-04-30,108.91243743896484
2025-05-01,111.60224914550781
2025-05-02,114.49205017089844
2025-05-05,113.81209564208984
2025-05-06,113.53211975097656
2025-05-07,117.05187225341797
2025-05-08,117.36185455322266
2025-05-09,116.64189910888672
2025-05-12,122.99146270751953
2025-05-13,129.9209747314453
2025-05-14,135.33059692382812
2025-05-15,134.8206329345703
2025-05-16,135.39059448242188
2025-05-19,135.5605926513672
2025-05-20,134.37066650390625
2025-05-21,131.7908477783203
2025-05-22,132.82078552246094
2025-05-23,131.2808837890625
2025-05-27,135.49058532714844
2025-05-28,134.80064392089844
2025-05-29,139.1803436279297
2025-05-30,135.12062072753906
2025-06-02,137.37046813964844
2025-06-03,141.21018981933594
2025-06-04,141.91014099121094
2025-06-05,139.98028564453125
2025-06-06,141.7101593017578
2025-06-09,142.62010192871094
2025-06-10,143.95001220703125
2025-06-11,142.8300018310547
2025-06-12,145.0
2025-06-13,141.97000122070312
2025-06-16,144.69000244140625
2025-06-17,144.1199951171875
2025-06-18,145.47999572753906
2025-06-20,143.85000610351562
2025-06-23,144.1699981689453
2025-06-24,147.89999389648438
2025-06-25,154.30999755859375
2025-06-26,155.02000427246094
2025-06-27,157.75
2025-06-30,157.99000549316406
2025-07-01,153.3000030517578
2025-07-02,157.25
2025-07-03,159.33999633789062
2025-07-07,158.24000549316406
2025-07-08,160.0
2025-07-09,162.8800048828125
2025-07-10,164.10000610351562
2025-07-11,164.9199981689453
2025-07-14,164.07000732421875
2025-07-15,170.6999969482422
2025-07-16,171.3699951171875
2025-07-17,173.0
2025-07-18,172.41000366210938
2025-07-21,171.3800048828125
2025-07-22,167.02999877929688
2025-07-23,170.77999877929688
2025-07-24,173.74000549316406
2025-07-25,173.5
2025-07-28,176.75
2025-07-29,175.50999450683594
2025-07-30,179.27000427246094
2025-07-31,177.8699951171875
2025-08-01,173.72000122070312
2025-08-04,180.0
2025-08-05,178.25999450683594
